document_id,course_id,course_docs,course_views_30d,institution_id,country,views_past29days,views_h_m24,views_h_m22,views_h_m20,views_h_m18,views_h_m16,views_h_m14,views_h_m12,views_h_m10,views_h_m08,views_h_m06,views_h_m04,views_h_m02,views_d_01
22044028,4527748,212,4045,327,US,231,0,0,0,0,0,0,0,0,0,0,0,0,0
22591460,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23825303,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
24043575,4527748,212,4045,327,US,28,0,0,0,0,0,0,0,0,0,0,0,0,0
24779855,4527748,212,4045,327,US,62,0,0,0,0,0,0,0,0,0,0,0,0,0
24779861,4527748,212,4045,327,US,14,0,0,0,0,0,0,0,0,0,0,0,0,0
25137309,4527748,212,4045,327,US,118,0,1,0,0,0,1,0,0,0,0,0,0,0
27056103,4527748,212,4045,327,US,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27056137,4527748,212,4045,327,US,192,0,4,2,2,1,6,11,2,0,0,0,0,15
29699829,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30172624,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31417514,4527748,212,4045,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
31423622,4527748,212,4045,327,US,151,0,0,0,1,0,0,0,0,0,0,0,0,1
35842313,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35860538,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36017823,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
36017921,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36017931,4527748,212,4045,327,US,16,0,0,0,0,0,0,0,0,0,0,0,0,0
36017949,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36827701,4527748,212,4045,327,US,25,0,0,0,0,0,0,0,0,0,0,0,0,0
37577751,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38016877,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38514986,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38516555,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38518980,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38647779,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
